code,name,date
sz.300223,北京君正,2024-01-28
sz.300274,阳光电源,2024-01-28
sz.300308,中际旭创,2024-01-28
sz.300316,晶盛机电,2024-01-28
sz.300347,泰格医药,2024-01-28
sz.300408,三环集团,2024-01-28
sz.300413,芒果超媒,2024-01-28
sz.300433,蓝思科技,2024-01-28
sz.300450,先导智能,2024-01-28
sz.300454,深信服,2024-01-28
sz.300496,中科创达,2024-01-28
sz.300498,温氏股份,2024-01-28
sz.300628,亿联网络,2024-01-28
sz.300661,圣邦股份,2024-01-28
sz.300750,宁德时代,2024-01-28
sz.300751,迈为股份,2024-01-28
sz.300759,康龙化成,2024-01-28
sz.300760,迈瑞医疗,2024-01-28
sz.300763,锦浪科技,2024-01-28
sz.300782,卓胜微,2024-01-28
sz.300896,爱美客,2024-01-28
sz.300919,中伟股份,2024-01-28
sz.300957,贝泰妮,2024-01-28
sz.300979,华利集团,2024-01-28
sz.300999,金龙鱼,2024-01-28
sz.301269,华大九天,2024-01-28
sh.600000,浦发银行,2024-07-01
sh.600009,上海机场,2024-07-01
sh.600010,包钢股份,2024-07-01
sh.600011,华能国际,2024-07-01
sh.600015,华夏银行,2024-07-01
sh.600016,民生银行,2024-07-01
sh.600018,上港集团,2024-07-01
sh.600019,宝钢股份,2024-07-01
sh.600023,浙能电力,2024-07-01
sh.600025,华能水电,2024-07-01
sh.600026,中远海能,2024-07-01
sh.600027,华电国际,2024-07-01
sh.600028,中国石化,2024-07-01
sh.600029,南方航空,2024-07-01
sh.600030,中信证券,2024-07-01
sh.600031,三一重工,2024-07-01
sh.600036,招商银行,2024-07-01
sh.600039,四川路桥,2024-07-01
sh.600048,保利发展,2024-07-01
sh.600050,中国联通,2024-07-01
sh.600061,国投资本,2024-07-01
sh.600085,同仁堂,2024-07-01
sh.600089,特变电工,2024-07-01
sh.600104,上汽集团,2024-07-01
sh.600111,北方稀土,2024-07-01
sh.600115,中国东航,2024-07-01
sh.600132,重庆啤酒,2024-07-01
sh.600150,中国船舶,2024-07-01
sh.600161,天坛生物,2024-07-01
sh.600176,中国巨石,2024-07-01
sh.600183,生益科技,2024-07-01
sh.600188,兖矿能源,2024-07-01
sh.600196,复星医药,2024-07-01
sh.600219,南山铝业,2024-07-01
sh.600233,圆通速递,2024-07-01
sh.600276,恒瑞医药,2024-07-01
sh.600309,万华化学,2024-07-01
sh.600332,白云山,2024-07-01
sh.600346,恒力石化,2024-07-01
sh.600362,江西铜业,2024-07-01
sh.600372,中航机载,2024-07-01
sh.600406,国电南瑞,2024-07-01
sh.600415,小商品城,2024-07-01
sh.600426,华鲁恒升,2024-07-01
sh.600436,片仔癀,2024-07-01
sh.600438,通威股份,2024-07-01
sh.600460,士兰微,2024-07-01
sh.600489,中金黄金,2024-07-01
sh.600515,海南机场,2024-07-01
sh.600519,贵州茅台,2024-07-01
sh.600547,山东黄金,2024-07-01
sh.600570,恒生电子,2024-07-01
sh.600584,长电科技,2024-07-01
sh.600585,海螺水泥,2024-07-01
sh.600588,用友网络,2024-07-01
sh.600600,青岛啤酒,2024-07-01
sh.600660,福耀玻璃,2024-07-01
sh.600674,川投能源,2024-07-01
sh.600690,海尔智家,2024-07-01
sh.600732,爱旭股份,2024-07-01
sh.600741,华域汽车,2024-07-01
sh.600745,闻泰科技,2024-07-01
sh.600760,中航沈飞,2024-07-01
sh.600795,国电电力,2024-07-01
sh.600803,新奥股份,2024-07-01
sh.600809,山西汾酒,2024-07-01
sh.600837,海通证券,2024-07-01
sh.600845,宝信软件,2024-07-01
sh.600875,东方电气,2024-07-01
sh.600886,国投电力,2024-07-01
sh.600887,伊利股份,2024-07-01
sh.600893,航发动力,2024-07-01
sh.600900,长江电力,2024-07-01
sh.600905,三峡能源,2024-07-01
sh.600918,中泰证券,2024-07-01
sh.600919,江苏银行,2024-07-01
sh.600926,杭州银行,2024-07-01
sh.600938,中国海油,2024-07-01
sh.600941,中国移动,2024-07-01
sh.600958,东方证券,2024-07-01
sh.600989,宝丰能源,2024-07-01
sh.600999,招商证券,2024-07-01
sh.601006,大秦铁路,2024-07-01
sh.601009,南京银行,2024-07-01
sh.601012,隆基绿能,2024-07-01
sh.601021,春秋航空,2024-07-01
sh.601059,信达证券,2024-07-01
sh.601066,中信建投,2024-07-01
sh.601088,中国神华,2024-07-01
sh.601100,恒立液压,2024-07-01
sh.601111,中国国航,2024-07-01
sh.601117,中国化学,2024-07-01
sh.601138,工业富联,2024-07-01
sh.601166,兴业银行,2024-07-01
sh.601169,北京银行,2024-07-01
sh.601186,中国铁建,2024-07-01
sh.601211,国泰君安,2024-07-01
sh.601225,陕西煤业,2024-07-01
sh.601229,上海银行,2024-07-01
sh.601236,红塔证券,2024-07-01
sh.601238,广汽集团,2024-07-01
sh.601288,农业银行,2024-07-01
sh.601318,中国平安,2024-07-01
sh.601319,中国人保,2024-07-01
sh.601328,交通银行,2024-07-01
sh.601336,新华保险,2024-07-01
sh.601360,三六零,2024-07-01
sh.601377,兴业证券,2024-07-01
sh.601390,中国中铁,2024-07-01
sh.601398,工商银行,2024-07-01
sh.601600,中国铝业,2024-07-01
sh.601601,中国太保,2024-07-01
sh.601607,上海医药,2024-07-01
sh.601618,中国中冶,2024-07-01
sh.601628,中国人寿,2024-07-01
sh.601633,长城汽车,2024-07-01
sh.601658,邮储银行,2024-07-01
sh.601668,中国建筑,2024-07-01
sh.601669,中国电建,2024-07-01
sh.601688,华泰证券,2024-07-01
sh.601689,拓普集团,2024-07-01
sh.601698,中国卫通,2024-07-01
sh.601699,潞安环能,2024-07-01
sh.601728,中国电信,2024-07-01
sh.601766,中国中车,2024-07-01
sh.601788,光大证券,2024-07-01
sh.601799,星宇股份,2024-07-01
sh.601800,中国交建,2024-07-01
sh.601808,中海油服,2024-07-01
sh.601816,京沪高铁,2024-07-01
sh.601818,光大银行,2024-07-01
sh.601838,成都银行,2024-07-01
sh.601857,中国石油,2024-07-01
sh.601865,福莱特,2024-07-01
sh.601868,中国能建,2024-07-01
sh.601872,招商轮船,2024-07-01
sh.601877,正泰电器,2024-07-01
sh.601878,浙商证券,2024-07-01
sh.601881,中国银河,2024-07-01
sh.601888,中国中免,2024-07-01
sh.601898,中煤能源,2024-07-01
sh.601899,紫金矿业,2024-07-01
sh.601901,方正证券,2024-07-01
sh.601916,浙商银行,2024-07-01
sh.601919,中远海控,2024-07-01
sh.601939,建设银行,2024-07-01
sh.601985,中国核电,2024-07-01
sh.601988,中国银行,2024-07-01
sh.601989,中国重工,2024-07-01
sh.601995,中金公司,2024-07-01
sh.601998,中信银行,2024-07-01
sh.603019,中科曙光,2024-07-01
sh.603195,公牛集团,2024-07-01
sh.603259,药明康德,2024-07-01
sh.603260,合盛硅业,2024-07-01
sh.603288,海天味业,2024-07-01
sh.603296,华勤技术,2024-07-01
sh.603369,今世缘,2024-07-01
sh.603392,万泰生物,2024-07-01
sh.603501,韦尔股份,2024-07-01
sh.603659,璞泰来,2024-07-01
sh.603799,华友钴业,2024-07-01
sh.603806,福斯特,2024-07-01
sh.603833,欧派家居,2024-07-01
sh.603899,晨光股份,2024-07-01
sh.603986,兆易创新,2024-07-01
sh.603993,洛阳钼业,2024-07-01
sh.605117,德业股份,2024-07-01
sh.605499,东鹏饮料,2024-07-01
sh.688008,澜起科技,2024-07-01
sh.688009,中国通号,2024-07-01
sh.688012,中微公司,2024-07-01
sh.688036,传音控股,2024-07-01
sh.688041,海光信息,2024-07-01
sh.688082,盛美上海,2024-07-01
sh.688111,金山办公,2024-07-01
sh.688126,沪硅产业,2024-07-01
sh.688187,时代电气,2024-07-01
sh.688223,晶科能源,2024-07-01
sh.688256,寒武纪,2024-07-01
sh.688271,联影医疗,2024-07-01
sh.688303,大全能源,2024-07-01
sh.688363,华熙生物,2024-07-01
sh.688396,华润微,2024-07-01
sh.688599,天合光能,2024-07-01
sh.688981,中芯国际,2024-07-01
sz.000001,平安银行,2024-07-01
sz.000002,万科A,2024-07-01
sz.000063,中兴通讯,2024-07-01
sz.000100,TCL科技,2024-07-01
sz.000157,中联重科,2024-07-01
sz.000166,申万宏源,2024-07-01
sz.000301,东方盛虹,2024-07-01
sz.000333,美的集团,2024-07-01
sz.000338,潍柴动力,2024-07-01
sz.000408,藏格矿业,2024-07-01
sz.000425,徐工机械,2024-07-01
sz.000538,云南白药,2024-07-01
sz.000568,泸州老窖,2024-07-01
sz.000596,古井贡酒,2024-07-01
sz.000617,中油资本,2024-07-01
sz.000625,长安汽车,2024-07-01
sz.000651,格力电器,2024-07-01
sz.000661,长春高新,2024-07-01
sz.000708,中信特钢,2024-07-01
sz.000725,京东方A,2024-07-01
sz.000733,振华科技,2024-07-01
sz.000768,中航西飞,2024-07-01
sz.000776,广发证券,2024-07-01
sz.000786,北新建材,2024-07-01
sz.000792,盐湖股份,2024-07-01
sz.000800,一汽解放,2024-07-01
sz.000807,云铝股份,2024-07-01
sz.000858,五粮液,2024-07-01
sz.000876,新希望,2024-07-01
sz.000895,双汇发展,2024-07-01
sz.000938,紫光股份,2024-07-01
sz.000963,华东医药,2024-07-01
sz.000977,浪潮信息,2024-07-01
sz.000983,山西焦煤,2024-07-01
sz.000999,华润三九,2024-07-01
sz.001289,龙源电力,2024-07-01
sz.001965,招商公路,2024-07-01
sz.001979,招商蛇口,2024-07-01
sz.002001,新和成,2024-07-01
sz.002007,华兰生物,2024-07-01
sz.002027,分众传媒,2024-07-01
sz.002049,紫光国微,2024-07-01
sz.002050,三花智控,2024-07-01
sz.002074,国轩高科,2024-07-01
sz.002129,TCL中环,2024-07-01
sz.002142,宁波银行,2024-07-01
sz.002179,中航光电,2024-07-01
sz.002180,纳思达,2024-07-01
sz.002230,科大讯飞,2024-07-01
sz.002236,大华股份,2024-07-01
sz.002241,歌尔股份,2024-07-01
sz.002252,上海莱士,2024-07-01
sz.002271,东方雨虹,2024-07-01
sz.002304,洋河股份,2024-07-01
sz.002311,海大集团,2024-07-01
sz.002352,顺丰控股,2024-07-01
sz.002371,北方华创,2024-07-01
sz.002410,广联达,2024-07-01
sz.002415,海康威视,2024-07-01
sz.002459,晶澳科技,2024-07-01
sz.002460,赣锋锂业,2024-07-01
sz.002466,天齐锂业,2024-07-01
sz.002475,立讯精密,2024-07-01
sz.002493,荣盛石化,2024-07-01
sz.002555,三七互娱,2024-07-01
sz.002594,比亚迪,2024-07-01
sz.002601,龙佰集团,2024-07-01
sz.002603,以岭药业,2024-07-01
sz.002648,卫星化学,2024-07-01
sz.002709,天赐材料,2024-07-01
sz.002714,牧原股份,2024-07-01
sz.002736,国信证券,2024-07-01
sz.002812,恩捷股份,2024-07-01
sz.002821,凯莱英,2024-07-01
sz.002841,视源股份,2024-07-01
sz.002916,深南电路,2024-07-01
sz.002920,德赛西威,2024-07-01
sz.002938,鹏鼎控股,2024-07-01
sz.003816,中国广核,2024-07-01
sz.300014,亿纬锂能,2024-07-01
sz.300015,爱尔眼科,2024-07-01
sz.300033,同花顺,2024-07-01
sz.300059,东方财富,2024-07-01
sz.300122,智飞生物,2024-07-01
sz.300124,汇川技术,2024-07-01
sz.300142,沃森生物,2024-07-01
sz.300223,北京君正,2024-07-01
sz.300274,阳光电源,2024-07-01
sz.300308,中际旭创,2024-07-01
sz.300316,晶盛机电,2024-07-01
sz.300347,泰格医药,2024-07-01
sz.300408,三环集团,2024-07-01
sz.300413,芒果超媒,2024-07-01
sz.300418,昆仑万维,2024-07-01
sz.300433,蓝思科技,2024-07-01
sz.300442,润泽科技,2024-07-01
sz.300450,先导智能,2024-07-01
sz.300454,深信服,2024-07-01
sz.300496,中科创达,2024-07-01
sz.300498,温氏股份,2024-07-01
sz.300628,亿联网络,2024-07-01
sz.300661,圣邦股份,2024-07-01
sz.300750,宁德时代,2024-07-01
sz.300751,迈为股份,2024-07-01
sz.300759,康龙化成,2024-07-01
sz.300760,迈瑞医疗,2024-07-01
sz.300782,卓胜微,2024-07-01
sz.300832,新产业,2024-07-01
sz.300896,爱美客,2024-07-01
sz.300919,中伟股份,2024-07-01
sz.300957,贝泰妮,2024-07-01
sz.300979,华利集团,2024-07-01
sz.300999,金龙鱼,2024-07-01
sz.301269,华大九天,2024-07-01
sh.600000,浦发银行,2024-07-02
sh.600009,上海机场,2024-07-02
sh.600010,包钢股份,2024-07-02
sh.600011,华能国际,2024-07-02
sh.600015,华夏银行,2024-07-02
sh.600016,民生银行,2024-07-02
sh.600018,上港集团,2024-07-02
sh.600019,宝钢股份,2024-07-02
sh.600023,浙能电力,2024-07-02
sh.600025,华能水电,2024-07-02
sh.600026,中远海能,2024-07-02
sh.600027,华电国际,2024-07-02
sh.600028,中国石化,2024-07-02
sh.600029,南方航空,2024-07-02
sh.600030,中信证券,2024-07-02
sh.600031,三一重工,2024-07-02
sh.600036,招商银行,2024-07-02
sh.600039,四川路桥,2024-07-02
sh.600048,保利发展,2024-07-02
sh.600050,中国联通,2024-07-02
sh.600061,国投资本,2024-07-02
sh.600085,同仁堂,2024-07-02
sh.600089,特变电工,2024-07-02
sh.600104,上汽集团,2024-07-02
sh.600111,北方稀土,2024-07-02
sh.600115,中国东航,2024-07-02
sh.600132,重庆啤酒,2024-07-02
sh.600150,中国船舶,2024-07-02
sh.600161,天坛生物,2024-07-02
sh.600176,中国巨石,2024-07-02
sh.600183,生益科技,2024-07-02
sh.600188,兖矿能源,2024-07-02
sh.600196,复星医药,2024-07-02
sh.600219,南山铝业,2024-07-02
sh.600233,圆通速递,2024-07-02
sh.600276,恒瑞医药,2024-07-02
sh.600309,万华化学,2024-07-02
sh.600332,白云山,2024-07-02
sh.600346,恒力石化,2024-07-02
sh.600362,江西铜业,2024-07-02
sh.600372,中航机载,2024-07-02
sh.600406,国电南瑞,2024-07-02
sh.600415,小商品城,2024-07-02
sh.600426,华鲁恒升,2024-07-02
sh.600436,片仔癀,2024-07-02
sh.600438,通威股份,2024-07-02
sh.600460,士兰微,2024-07-02
sh.600489,中金黄金,2024-07-02
sh.600515,海南机场,2024-07-02
sh.600519,贵州茅台,2024-07-02
sh.600547,山东黄金,2024-07-02
sh.600570,恒生电子,2024-07-02
sh.600584,长电科技,2024-07-02
sh.600585,海螺水泥,2024-07-02
sh.600588,用友网络,2024-07-02
sh.600600,青岛啤酒,2024-07-02
sh.600660,福耀玻璃,2024-07-02
sh.600674,川投能源,2024-07-02
sh.600690,海尔智家,2024-07-02
sh.600732,爱旭股份,2024-07-02
sh.600741,华域汽车,2024-07-02
sh.600745,闻泰科技,2024-07-02
sh.600760,中航沈飞,2024-07-02
sh.600795,国电电力,2024-07-02
sh.600803,新奥股份,2024-07-02
sh.600809,山西汾酒,2024-07-02
sh.600837,海通证券,2024-07-02
sh.600845,宝信软件,2024-07-02
sh.600875,东方电气,2024-07-02
sh.600886,国投电力,2024-07-02
sh.600887,伊利股份,2024-07-02
sh.600893,航发动力,2024-07-02
sh.600900,长江电力,2024-07-02
sh.600905,三峡能源,2024-07-02
sh.600918,中泰证券,2024-07-02
sh.600919,江苏银行,2024-07-02
sh.600926,杭州银行,2024-07-02
sh.600938,中国海油,2024-07-02
sh.600941,中国移动,2024-07-02
sh.600958,东方证券,2024-07-02
sh.600989,宝丰能源,2024-07-02
sh.600999,招商证券,2024-07-02
sh.601006,大秦铁路,2024-07-02
sh.601009,南京银行,2024-07-02
sh.601012,隆基绿能,2024-07-02
sh.601021,春秋航空,2024-07-02
sh.601059,信达证券,2024-07-02
sh.601066,中信建投,2024-07-02
sh.601088,中国神华,2024-07-02
sh.601100,恒立液压,2024-07-02
sh.601111,中国国航,2024-07-02
sh.601117,中国化学,2024-07-02
sh.601138,工业富联,2024-07-02
sh.601166,兴业银行,2024-07-02
sh.601169,北京银行,2024-07-02
sh.601186,中国铁建,2024-07-02
sh.601211,国泰君安,2024-07-02
sh.601225,陕西煤业,2024-07-02
sh.601229,上海银行,2024-07-02
sh.601236,红塔证券,2024-07-02
sh.601238,广汽集团,2024-07-02
sh.601288,农业银行,2024-07-02
sh.601318,中国平安,2024-07-02
sh.601319,中国人保,2024-07-02
sh.601328,交通银行,2024-07-02
sh.601336,新华保险,2024-07-02
sh.601360,三六零,2024-07-02
sh.601377,兴业证券,2024-07-02
sh.601390,中国中铁,2024-07-02
sh.601398,工商银行,2024-07-02
sh.601600,中国铝业,2024-07-02
sh.601601,中国太保,2024-07-02
sh.601607,上海医药,2024-07-02
sh.601618,中国中冶,2024-07-02
sh.601628,中国人寿,2024-07-02
sh.601633,长城汽车,2024-07-02
sh.601658,邮储银行,2024-07-02
sh.601668,中国建筑,2024-07-02
sh.601669,中国电建,2024-07-02
sh.601688,华泰证券,2024-07-02
sh.601689,拓普集团,2024-07-02
sh.601698,中国卫通,2024-07-02
sh.601699,潞安环能,2024-07-02
sh.601728,中国电信,2024-07-02
sh.601766,中国中车,2024-07-02
sh.601788,光大证券,2024-07-02
sh.601799,星宇股份,2024-07-02
sh.601800,中国交建,2024-07-02
sh.601808,中海油服,2024-07-02
sh.601816,京沪高铁,2024-07-02
sh.601818,光大银行,2024-07-02
sh.601838,成都银行,2024-07-02
sh.601857,中国石油,2024-07-02
sh.601865,福莱特,2024-07-02
sh.601868,中国能建,2024-07-02
sh.601872,招商轮船,2024-07-02
sh.601877,正泰电器,2024-07-02
sh.601878,浙商证券,2024-07-02
sh.601881,中国银河,2024-07-02
sh.601888,中国中免,2024-07-02
sh.601898,中煤能源,2024-07-02
sh.601899,紫金矿业,2024-07-02
sh.601901,方正证券,2024-07-02
sh.601916,浙商银行,2024-07-02
sh.601919,中远海控,2024-07-02
sh.601939,建设银行,2024-07-02
sh.601985,中国核电,2024-07-02
sh.601988,中国银行,2024-07-02
sh.601989,中国重工,2024-07-02
sh.601995,中金公司,2024-07-02
sh.601998,中信银行,2024-07-02
sh.603019,中科曙光,2024-07-02
sh.603195,公牛集团,2024-07-02
sh.603259,药明康德,2024-07-02
sh.603260,合盛硅业,2024-07-02
sh.603288,海天味业,2024-07-02
sh.603296,华勤技术,2024-07-02
sh.603369,今世缘,2024-07-02
sh.603392,万泰生物,2024-07-02
sh.603501,韦尔股份,2024-07-02
sh.603659,璞泰来,2024-07-02
sh.603799,华友钴业,2024-07-02
sh.603806,福斯特,2024-07-02
sh.603833,欧派家居,2024-07-02
sh.603899,晨光股份,2024-07-02
sh.603986,兆易创新,2024-07-02
sh.603993,洛阳钼业,2024-07-02
sh.605117,德业股份,2024-07-02
sh.605499,东鹏饮料,2024-07-02
sh.688008,澜起科技,2024-07-02
sh.688009,中国通号,2024-07-02
sh.688012,中微公司,2024-07-02
sh.688036,传音控股,2024-07-02
sh.688041,海光信息,2024-07-02
sh.688082,盛美上海,2024-07-02
sh.688111,金山办公,2024-07-02
sh.688126,沪硅产业,2024-07-02
sh.688187,时代电气,2024-07-02
sh.688223,晶科能源,2024-07-02
sh.688256,寒武纪,2024-07-02
sh.688271,联影医疗,2024-07-02
sh.688303,大全能源,2024-07-02
sh.688363,华熙生物,2024-07-02
sh.688396,华润微,2024-07-02
sh.688599,天合光能,2024-07-02
sh.688981,中芯国际,2024-07-02
sz.000001,平安银行,2024-07-02
sz.000002,万科A,2024-07-02
sz.000063,中兴通讯,2024-07-02
sz.000100,TCL科技,2024-07-02
sz.000157,中联重科,2024-07-02
sz.000166,申万宏源,2024-07-02
sz.000301,东方盛虹,2024-07-02
sz.000333,美的集团,2024-07-02
sz.000338,潍柴动力,2024-07-02
sz.000408,藏格矿业,2024-07-02
sz.000425,徐工机械,2024-07-02
sz.000538,云南白药,2024-07-02
sz.000568,泸州老窖,2024-07-02
sz.000596,古井贡酒,2024-07-02
sz.000617,中油资本,2024-07-02
sz.000625,长安汽车,2024-07-02
sz.000651,格力电器,2024-07-02
sz.000661,长春高新,2024-07-02
sz.000708,中信特钢,2024-07-02
sz.000725,京东方A,2024-07-02
sz.000733,振华科技,2024-07-02
sz.000768,中航西飞,2024-07-02
sz.000776,广发证券,2024-07-02
sz.000786,北新建材,2024-07-02
sz.000792,盐湖股份,2024-07-02
sz.000800,一汽解放,2024-07-02
sz.000807,云铝股份,2024-07-02
sz.000858,五粮液,2024-07-02
sz.000876,新希望,2024-07-02
sz.000895,双汇发展,2024-07-02
sz.000938,紫光股份,2024-07-02
sz.000963,华东医药,2024-07-02
sz.000977,浪潮信息,2024-07-02
sz.000983,山西焦煤,2024-07-02
sz.000999,华润三九,2024-07-02
sz.001289,龙源电力,2024-07-02
sz.001965,招商公路,2024-07-02
sz.001979,招商蛇口,2024-07-02
sz.002001,新和成,2024-07-02
sz.002007,华兰生物,2024-07-02
sz.002027,分众传媒,2024-07-02
sz.002049,紫光国微,2024-07-02
sz.002050,三花智控,2024-07-02
sz.002074,国轩高科,2024-07-02
sz.002129,TCL中环,2024-07-02
sz.002142,宁波银行,2024-07-02
sz.002179,中航光电,2024-07-02
sz.002180,纳思达,2024-07-02
sz.002230,科大讯飞,2024-07-02
sz.002236,大华股份,2024-07-02
sz.002241,歌尔股份,2024-07-02
sz.002252,上海莱士,2024-07-02
sz.002271,东方雨虹,2024-07-02
sz.002304,洋河股份,2024-07-02
sz.002311,海大集团,2024-07-02
sz.002352,顺丰控股,2024-07-02
sz.002371,北方华创,2024-07-02
sz.002410,广联达,2024-07-02
sz.002415,海康威视,2024-07-02
sz.002459,晶澳科技,2024-07-02
sz.002460,赣锋锂业,2024-07-02
sz.002466,天齐锂业,2024-07-02
sz.002475,立讯精密,2024-07-02
sz.002493,荣盛石化,2024-07-02
sz.002555,三七互娱,2024-07-02
sz.002594,比亚迪,2024-07-02
sz.002601,龙佰集团,2024-07-02
sz.002603,以岭药业,2024-07-02
sz.002648,卫星化学,2024-07-02
sz.002709,天赐材料,2024-07-02
sz.002714,牧原股份,2024-07-02
sz.002736,国信证券,2024-07-02
sz.002812,恩捷股份,2024-07-02
sz.002821,凯莱英,2024-07-02
sz.002841,视源股份,2024-07-02
sz.002916,深南电路,2024-07-02
sz.002920,德赛西威,2024-07-02
sz.002938,鹏鼎控股,2024-07-02
sz.003816,中国广核,2024-07-02
sz.300014,亿纬锂能,2024-07-02
sz.300015,爱尔眼科,2024-07-02
sz.300033,同花顺,2024-07-02
sz.300059,东方财富,2024-07-02
sz.300122,智飞生物,2024-07-02
sz.300124,汇川技术,2024-07-02
sz.300142,沃森生物,2024-07-02
sz.300223,北京君正,2024-07-02
sz.300274,阳光电源,2024-07-02
sz.300308,中际旭创,2024-07-02
sz.300316,晶盛机电,2024-07-02
sz.300347,泰格医药,2024-07-02
sz.300408,三环集团,2024-07-02
sz.300413,芒果超媒,2024-07-02
sz.300418,昆仑万维,2024-07-02
sz.300433,蓝思科技,2024-07-02
sz.300442,润泽科技,2024-07-02
sz.300450,先导智能,2024-07-02
sz.300454,深信服,2024-07-02
sz.300496,中科创达,2024-07-02
sz.300498,温氏股份,2024-07-02
sz.300628,亿联网络,2024-07-02
sz.300661,圣邦股份,2024-07-02
sz.300750,宁德时代,2024-07-02
sz.300751,迈为股份,2024-07-02
sz.300759,康龙化成,2024-07-02
sz.300760,迈瑞医疗,2024-07-02
sz.300782,卓胜微,2024-07-02
sz.300832,新产业,2024-07-02
sz.300896,爱美客,2024-07-02
sz.300919,中伟股份,2024-07-02
sz.300957,贝泰妮,2024-07-02
sz.300979,华利集团,2024-07-02
sz.300999,金龙鱼,2024-07-02
sz.301269,华大九天,2024-07-02
sh.600000,浦发银行,2024-07-03
sh.600009,上海机场,2024-07-03
sh.600010,包钢股份,2024-07-03
sh.600011,华能国际,2024-07-03
sh.600015,华夏银行,2024-07-03
sh.600016,民生银行,2024-07-03
sh.600018,上港集团,2024-07-03
sh.600019,宝钢股份,2024-07-03
sh.600023,浙能电力,2024-07-03
sh.600025,华能水电,2024-07-03
sh.600026,中远海能,2024-07-03
sh.600027,华电国际,2024-07-03
sh.600028,中国石化,2024-07-03
sh.600029,南方航空,2024-07-03
sh.600030,中信证券,2024-07-03
sh.600031,三一重工,2024-07-03
sh.600036,招商银行,2024-07-03
sh.600039,四川路桥,2024-07-03
sh.600048,保利发展,2024-07-03
sh.600050,中国联通,2024-07-03
sh.600061,国投资本,2024-07-03
sh.600085,同仁堂,2024-07-03
sh.600089,特变电工,2024-07-03
sh.600104,上汽集团,2024-07-03
sh.600111,北方稀土,2024-07-03
sh.600115,中国东航,2024-07-03
sh.600132,重庆啤酒,2024-07-03
sh.600150,中国船舶,2024-07-03
sh.600161,天坛生物,2024-07-03
sh.600176,中国巨石,2024-07-03
sh.600183,生益科技,2024-07-03
sh.600188,兖矿能源,2024-07-03
sh.600196,复星医药,2024-07-03
sh.600219,南山铝业,2024-07-03
sh.600233,圆通速递,2024-07-03
sh.600276,恒瑞医药,2024-07-03
sh.600309,万华化学,2024-07-03
sh.600332,白云山,2024-07-03
sh.600346,恒力石化,2024-07-03
sh.600362,江西铜业,2024-07-03
sh.600372,中航机载,2024-07-03
sh.600406,国电南瑞,2024-07-03
sh.600415,小商品城,2024-07-03
sh.600426,华鲁恒升,2024-07-03
sh.600436,片仔癀,2024-07-03
sh.600438,通威股份,2024-07-03
sh.600460,士兰微,2024-07-03
sh.600489,中金黄金,2024-07-03
sh.600515,海南机场,2024-07-03
sh.600519,贵州茅台,2024-07-03
sh.600547,山东黄金,2024-07-03
sh.600570,恒生电子,2024-07-03
sh.600584,长电科技,2024-07-03
sh.600585,海螺水泥,2024-07-03
sh.600588,用友网络,2024-07-03
sh.600600,青岛啤酒,2024-07-03
sh.600660,福耀玻璃,2024-07-03
sh.600674,川投能源,2024-07-03
sh.600690,海尔智家,2024-07-03
sh.600732,爱旭股份,2024-07-03
sh.600741,华域汽车,2024-07-03
sh.600745,闻泰科技,2024-07-03
sh.600760,中航沈飞,2024-07-03
sh.600795,国电电力,2024-07-03
sh.600803,新奥股份,2024-07-03
sh.600809,山西汾酒,2024-07-03
sh.600837,海通证券,2024-07-03
sh.600845,宝信软件,2024-07-03
sh.600875,东方电气,2024-07-03
sh.600886,国投电力,2024-07-03
sh.600887,伊利股份,2024-07-03
sh.600893,航发动力,2024-07-03
sh.600900,长江电力,2024-07-03
sh.600905,三峡能源,2024-07-03
sh.600918,中泰证券,2024-07-03
sh.600919,江苏银行,2024-07-03
sh.600926,杭州银行,2024-07-03
sh.600938,中国海油,2024-07-03
sh.600941,中国移动,2024-07-03
sh.600958,东方证券,2024-07-03
sh.600989,宝丰能源,2024-07-03
sh.600999,招商证券,2024-07-03
sh.601006,大秦铁路,2024-07-03
sh.601009,南京银行,2024-07-03
sh.601012,隆基绿能,2024-07-03
sh.601021,春秋航空,2024-07-03
sh.601059,信达证券,2024-07-03
sh.601066,中信建投,2024-07-03
sh.601088,中国神华,2024-07-03
sh.601100,恒立液压,2024-07-03
sh.601111,中国国航,2024-07-03
sh.601117,中国化学,2024-07-03
sh.601138,工业富联,2024-07-03
sh.601166,兴业银行,2024-07-03
sh.601169,北京银行,2024-07-03
sh.601186,中国铁建,2024-07-03
sh.601211,国泰君安,2024-07-03
sh.601225,陕西煤业,2024-07-03
sh.601229,上海银行,2024-07-03
sh.601236,红塔证券,2024-07-03
sh.601238,广汽集团,2024-07-03
sh.601288,农业银行,2024-07-03
sh.601318,中国平安,2024-07-03
sh.601319,中国人保,2024-07-03
sh.601328,交通银行,2024-07-03
sh.601336,新华保险,2024-07-03
sh.601360,三六零,2024-07-03
sh.601377,兴业证券,2024-07-03
sh.601390,中国中铁,2024-07-03
sh.601398,工商银行,2024-07-03
sh.601600,中国铝业,2024-07-03
sh.601601,中国太保,2024-07-03
sh.601607,上海医药,2024-07-03
sh.601618,中国中冶,2024-07-03
sh.601628,中国人寿,2024-07-03
sh.601633,长城汽车,2024-07-03
sh.601658,邮储银行,2024-07-03
sh.601668,中国建筑,2024-07-03
sh.601669,中国电建,2024-07-03
sh.601688,华泰证券,2024-07-03
